Pixel_i,Pixel_j,SVI,PD
45.0,870.0,0.8996999859809875,0.006716135889291763
45.0,875.0,0.8996999859809875,0.007861669175326824
45.0,880.0,0.8996999859809875,0.0288617592304945
50.0,860.0,0.8996999859809875,0.004350470844656229
50.0,865.0,0.8996999859809875,0.005780755542218685
50.0,870.0,0.8996999859809875,0.005532902665436268
50.0,875.0,0.8996999859809875,0.0044982521794736385
50.0,880.0,0.8996999859809875,0.007829952985048294
60.0,820.0,0.8996999859809875,0.03290065750479698
60.0,825.0,0.8996999859809875,0.23174527287483215
60.0,830.0,0.8996999859809875,0.2158174067735672
65.0,1080.0,0.8996999859809875,1.844124674797058
75.0,1235.0,0.8996999859809875,0.06294188648462296
75.0,1240.0,0.8996999859809875,0.016959212720394135
75.0,1245.0,0.8996999859809875,0.009166914969682693
75.0,1250.0,0.8996999859809875,0.003143324749544263
75.0,1255.0,0.8996999859809875,0.00407651299610734
75.0,1260.0,0.8996999859809875,0.0024610485415905714
75.0,1265.0,0.8996999859809875,0.008516847155988216
75.0,1270.0,0.8996999859809875,0.016360631212592125
75.0,1275.0,0.8996999859809875,0.018695004284381866
80.0,1220.0,0.8996999859809875,0.030597347766160965
80.0,1230.0,0.8996999859809875,0.032989926636219025
80.0,1235.0,0.8996999859809875,0.008747280575335026
80.0,1240.0,0.8996999859809875,0.012291465885937214
80.0,1245.0,0.8996999859809875,0.005743023473769426
80.0,1250.0,0.8996999859809875,0.00797935202717781
80.0,1255.0,0.8996999859809875,0.009761232882738113
80.0,1260.0,0.8996999859809875,0.02793963812291622
80.0,1265.0,0.8996999859809875,0.00912565365433693
85.0,1230.0,0.8996999859809875,0.027806218713521957
85.0,1235.0,0.8996999859809875,0.0005077197565697134
85.0,1240.0,0.8996999859809875,0.0001386507647112012
85.0,1245.0,0.8996999859809875,8.560915739508346e-05
85.0,1250.0,0.8996999859809875,0.0004186785372439772
85.0,1255.0,0.8996999859809875,0.0007639575633220375
85.0,1260.0,0.8996999859809875,0.01733236573636532
90.0,1245.0,0.8996999859809875,0.010413158684968948
90.0,1250.0,0.8996999859809875,0.0001446677779313177
90.0,1255.0,0.8996999859809875,9.336553193861619e-05
90.0,1260.0,0.8996999859809875,0.0018442323198541999
90.0,1265.0,0.8996999859809875,0.0003868852218147367
90.0,1270.0,0.8996999859809875,0.0016950704157352448
95.0,1260.0,0.8996999859809875,9.083107579499483e-05
95.0,1265.0,0.8996999859809875,0.0002535802486818284
95.0,1270.0,0.8996999859809875,0.0035557905212044716
100.0,1260.0,0.8996999859809875,0.00010493383160792291
100.0,1265.0,0.8996999859809875,4.631943011190742e-05
100.0,1270.0,0.8996999859809875,0.0002775386965367943
100.0,1275.0,0.8996999859809875,0.028484752401709557
105.0,1260.0,0.8996999859809875,0.00014212477253749967
105.0,1265.0,0.8996999859809875,1.1108265425718855e-05
105.0,1270.0,0.8996999859809875,8.419220648647752e-06
105.0,1275.0,0.8996999859809875,6.73418035148643e-05
105.0,1280.0,0.8996999859809875,0.004724983125925064
110.0,1150.0,0.8996999859809875,0.0005152263329364359
110.0,1265.0,0.8996999859809875,2.114255948981736e-05
110.0,1270.0,0.8996999859809875,4.625434939953266e-06
110.0,1275.0,0.8996999859809875,5.142819645698182e-06
110.0,1280.0,0.8996999859809875,2.2933974832994863e-05
110.0,1285.0,0.8996999859809875,9.603501530364156e-05
115.0,1150.0,0.8996999859809875,0.0004578626831062138
115.0,1155.0,0.8996999859809875,0.00035516396746970713
115.0,1160.0,0.8996999859809875,0.005670800339430571
115.0,1165.0,0.8996999859809875,0.027841484174132347
120.0,1155.0,0.8996999859809875,0.0006435495452024043
120.0,1160.0,0.8996999859809875,0.0017024690750986338
120.0,1165.0,0.8996999859809875,0.010884088464081287
120.0,1340.0,0.8996999859809875,7.417768210871145e-05
120.0,1345.0,0.8996999859809875,6.837502587586641e-05
120.0,1350.0,0.8996999859809875,3.358247340656817e-05
120.0,1355.0,0.8996999859809875,5.018102001486113e-06
120.0,1360.0,0.8996999859809875,1.0892013960983604e-05
120.0,1365.0,0.8996999859809875,2.7984813641523942e-05
120.0,1370.0,0.8996999859809875,2.5836510758381337e-05
120.0,1375.0,0.8996999859809875,1.5278055798262358e-05
120.0,1380.0,0.8996999859809875,6.162217232486e-06
120.0,1385.0,0.8996999859809875,5.171533757675206e-06
120.0,1455.0,0.8996999859809875,2.8317828764556907e-05
120.0,1460.0,0.8996999859809875,7.589960659970529e-06
120.0,1465.0,0.8996999859809875,7.384293439827161e-06
120.0,1470.0,0.8996999859809875,5.312975190463476e-06
120.0,1475.0,0.8996999859809875,6.9277248258003965e-06
120.0,1480.0,0.8996999859809875,9.899375072563998e-06
125.0,1155.0,0.8996999859809875,0.0006184919038787484
125.0,1160.0,0.8996999859809875,0.002812964841723442
125.0,1165.0,0.8996999859809875,0.02509349212050438
125.0,1280.0,0.8996999859809875,0.0008509413455612957
125.0,1285.0,0.8996999859809875,8.850858648656867e-06
125.0,1290.0,0.8996999859809875,5.733158832299523e-05
125.0,1295.0,0.8996999859809875,9.399929695064202e-05
125.0,1300.0,0.8996999859809875,6.00987441430334e-05
125.0,1305.0,0.8996999859809875,9.130897524300963e-05
125.0,1310.0,0.8996999859809875,8.872991747921333e-05
125.0,1315.0,0.8996999859809875,1.7316830053459853e-05
125.0,1320.0,0.8996999859809875,6.32151059107855e-05
125.0,1325.0,0.8996999859809875,1.0017516615334898e-05
125.0,1330.0,0.8996999859809875,5.3732765081804246e-06
125.0,1335.0,0.8996999859809875,0.0037603648379445076
125.0,1340.0,0.8996999859809875,5.258195415080991e-06
125.0,1345.0,0.8996999859809875,3.405681854928844e-05
125.0,1350.0,0.8996999859809875,0.0011228906223550439
125.0,1355.0,0.8996999859809875,7.793159056745935e-06
125.0,1360.0,0.8996999859809875,5.094543212180724e-06
125.0,1365.0,0.8996999859809875,0.0016649725148454309
125.0,1370.0,0.8996999859809875,1.3618350749311503e-05
125.0,1380.0,0.8996999859809875,0.0008604094618931413
125.0,1385.0,0.8996999859809875,4.6760551413171925e-06
125.0,1390.0,0.8996999859809875,7.5744019341073e-06
125.0,1395.0,0.8996999859809875,7.624492354807444e-06
125.0,1400.0,0.8996999859809875,5.260168109089136e-06
125.0,1405.0,0.8996999859809875,4.871796136285411e-06
125.0,1410.0,0.8996999859809875,5.037243681726977e-06
125.0,1415.0,0.8996999859809875,2.471423431416042e-05
125.0,1420.0,0.8996999859809875,2.5715931769809686e-05
125.0,1425.0,0.8996999859809875,1.5520370652666315e-05
125.0,1430.0,0.8996999859809875,1.0618052328936756e-05
125.0,1435.0,0.8996999859809875,1.933361272676848e-05
125.0,1440.0,0.8996999859809875,0.0001151134492829442
125.0,1445.0,0.8996999859809875,2.8390384613885544e-05
125.0,1450.0,0.8996999859809875,1.4310415281215683e-05
125.0,1455.0,0.8996999859809875,1.0247948921460193e-05
125.0,1460.0,0.8996999859809875,5.137209518579766e-05
125.0,1465.0,0.8996999859809875,3.4959408367285505e-05
125.0,1470.0,0.8996999859809875,2.256271727674175e-05
125.0,1475.0,0.8996999859809875,9.16509725357173e-06
125.0,1480.0,0.8996999859809875,5.97076905251015e-06
130.0,1150.0,0.8996999859809875,0.011662617325782776
130.0,1265.0,0.8996999859809875,4.532400907919509e-06
130.0,1270.0,0.8996999859809875,5.599418273050105e-06
130.0,1275.0,0.8996999859809875,5.551627509703394e-06
130.0,1280.0,0.8996999859809875,1.780396451067645e-05
130.0,1285.0,0.8996999859809875,7.476096470782068e-06
130.0,1290.0,0.8996999859809875,4.440002157934941e-06
